year,publisher,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,title_y,link_y,cs,de,se,th,type
2001,Morgan Kaufmann,F,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
2001,Morgan Kaufmann,M,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778,778
2001,Morgan Kaufmann Publishers,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2001,Morgan Kaufmann Publishers,F,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2001,Morgan Kaufmann Publishers,M,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
2001,Springer,-,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
2001,Springer,F,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
2001,Springer,M,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
2001,University of Alberta,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2001,University of Alberta,F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2001,University of Alberta,M,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2001,\N,-,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
2001,\N,F,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2001,\N,M,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
2002,AAAI Press / The MIT Press,-,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2002,AAAI Press / The MIT Press,F,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
2002,AAAI Press / The MIT Press,M,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
2002,ACL,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2002,ACL,F,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2002,ACL,M,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
2002,ACM,-,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
2002,ACM,F,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743
2002,ACM,M,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799
2002,ACM/SIAM,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2002,ACM/SIAM,F,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
2002,ACM/SIAM,M,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
2002,IEEE,-,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2002,IEEE,F,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
2002,IEEE,M,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432
2002,IEEE Computer Society,-,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
2002,IEEE Computer Society,F,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
2002,IEEE Computer Society,M,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
2002,Matfyzpress,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2002,Matfyzpress,M,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2002,Morgan Kaufmann,-,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
2002,Morgan Kaufmann,F,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
2002,Morgan Kaufmann,M,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451
2002,"Slovak University of Technology, Bratislava",-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2002,"Slovak University of Technology, Bratislava",F,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2002,"Slovak University of Technology, Bratislava",M,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
